Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
107,AFR::MWI::Southern::Nsanje,1988-03-26,1988-03-26,1,25,,4.0,1988-03-26,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 25 cases, 1 deaths",JHU
108,AFR::MWI::Southern::Nsanje,1988-03-27,1988-03-27,1,42,,2.4,1988-03-27,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 42 cases, 1 deaths",JHU
109,AFR::MWI::Southern::Nsanje,1988-03-28,1988-03-28,1,32,,3.1,1988-03-28,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 32 cases, 1 deaths",JHU
110,AFR::MWI::Southern::Nsanje,1988-03-29,1988-03-29,2,24,,8.3,1988-03-29,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 24 cases, 2 deaths",JHU
111,AFR::MWI::Southern::Nsanje,1988-03-30,1988-03-30,2,40,,5.0,1988-03-30,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 40 cases, 2 deaths",JHU
112,AFR::MWI::Southern::Nsanje,1988-03-31,1988-03-31,1,18,,5.6,1988-03-31,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 18 cases, 1 deaths",JHU
113,AFR::MWI::Southern::Nsanje,1988-04-01,1988-04-01,1,25,,4.0,1988-04-01,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 25 cases, 1 deaths",JHU
114,AFR::MWI::Southern::Nsanje,1988-04-02,1988-04-02,,21,,,1988-04-02,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 21 cases",JHU
115,AFR::MWI::Southern::Nsanje,1988-04-03,1988-04-03,,28,,,1988-04-03,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 28 cases",JHU
116,AFR::MWI::Southern::Nsanje,1988-04-04,1988-04-04,,15,,,1988-04-04,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 15 cases",JHU
117,AFR::MWI::Southern::Nsanje,1988-04-05,1988-04-05,1,13,,7.7,1988-04-05,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 13 cases, 1 deaths",JHU
